ID	Gene.symbol	Gene.title	log2(fold change)	minus_log10(p-value)
219777_at	GIMAP6	"GTPase, IMAP family member 6"	1.193	2.173
219779_at	ZFHX4	zinc finger homeobox 4	1.078	2.493
219787_s_at	ECT2	epithelial cell transforming 2	-4.95	23.215
219795_at	SLC6A14	solute carrier family 6 member 14	2.602	2.612
219797_at	MGAT4A	"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A"	-2.012	6.033
219806_s_at	SMCO4	single-pass membrane protein with coiled-coil domains 4	-1.542	3.706
219819_s_at	MRPS28	mitochondrial ribosomal protein S28	-1.75	6.449
219821_s_at	GFOD1	glucose-fructose oxidoreductase domain containing 1	1.48	4.717
219832_s_at	HOXC13	homeobox C13	-1.129	3.605
219838_at	TTC23	tetratricopeptide repeat domain 23	1.003	2.073
219855_at	NUDT11	nudix hydrolase 11	1.225	4.781
219857_at	PLEKHS1	pleckstrin homology domain containing S1	1.444	2.391
219858_s_at	MFSD6	major facilitator superfamily domain containing 6	-2.09	5.855
219866_at	CLIC5	chloride intracellular channel 5	1.353	7.017
219868_s_at	ANKFY1	ankyrin repeat and FYVE domain containing 1	-1.5	6.692
219869_s_at	SLC39A8	solute carrier family 39 member 8	-1.431	2.436
219871_at	KLF3-AS1	KLF3 antisense RNA 1	1.579	4.844
219872_at	FAM198B	family with sequence similarity 198 member B	-1.033	2.011
219874_at	SLC12A8	solute carrier family 12 member 8	-1.788	7.973
219882_at	TTLL7	tubulin tyrosine ligase like 7	-2.456	6.398
219884_at	LHX6	LIM homeobox 6	2.609	10.445
219888_at	SPAG4	sperm associated antigen 4	-2.074	3.461
219901_at	FGD6	"FYVE, RhoGEF and PH domain containing 6"	-2.165	7.277
219902_at	BHMT2	betaine--homocysteine S-methyltransferase 2	1.668	3.87
219905_at	ERMAP	erythroblast membrane associated protein (Scianna blood group)	1.158	5.133
219910_at	FICD	FIC domain containing	-1.531	5.662
219913_s_at	CRNKL1	crooked neck pre-mRNA splicing factor 1	-1.776	7.129
219918_s_at	ASPM	abnormal spindle microtubule assembly	-5.815	24.588
219922_s_at	LTBP3	latent transforming growth factor beta binding protein 3	1.094	2.924
219924_s_at	ZMYM6	zinc finger MYM-type containing 6	-1.842	5.26
219929_s_at	ZFYVE21	zinc finger FYVE-type containing 21	-2.496	6.863
219931_s_at	KLHL12	kelch like family member 12	-1.926	9.64
219933_at	GLRX2	glutaredoxin 2	-1.597	8.84
219935_at	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	4.934	13.465
219940_s_at	PCID2	PCI domain containing 2	-1.131	7.159
219956_at	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6	-2.424	5.204
219960_s_at	UCHL5	ubiquitin C-terminal hydrolase L5	-2.934	15.014
219961_s_at	KIZ	kizuna centrosomal protein	1.501	7.278
219978_s_at	NUSAP1	nucleolar and spindle associated protein 1	-4.898	19.566
219979_s_at	HIKESHI	"Hikeshi, heat shock protein nuclear import factor"	-1.672	6.929
219980_at	ABHD18	abhydrolase domain containing 18	-1.124	5.22
219983_at	HRASLS	HRAS like suppressor	-1.441	1.97
219986_s_at	ACAD10	acyl-CoA dehydrogenase family member 10	1.311	9.838
219990_at	E2F8	E2F transcription factor 8	-2.929	9.935
219995_s_at	ZNF750	zinc finger protein 750	-1.343	2.269
219999_at	MAN2A2	mannosidase alpha class 2A member 2	1.767	11.37
220007_at	METTL8	methyltransferase like 8	-1.58	5.638
220016_at	AHNAK	AHNAK nucleoprotein	1.812	4.511
220018_at	CBLL1	Cbl proto-oncogene like 1	-1.016	7.883
220020_at	XPNPEP3	X-prolyl aminopeptidase 3	-1.117	3.811
220024_s_at	PRX	periaxin	1.048	6.73
220027_s_at	RASIP1	Ras interacting protein 1	2.696	11.307
220035_at	NUP210	nucleoporin 210	-1.341	4.096
220037_s_at	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1	1.364	5.808
220041_at	PIGZ	phosphatidylinositol glycan anchor biosynthesis class Z	1.392	3.811
220061_at	ACSM5	acyl-CoA synthetase medium-chain family member 5	3.551	14.231
220065_at	TNMD	tenomodulin	3.08	7.522
220079_s_at	USP48	ubiquitin specific peptidase 48	1.22	8.024
220083_x_at	UCHL5	ubiquitin C-terminal hydrolase L5	-2.115	11.23
220085_at	HELLS	"helicase, lymphoid-specific"	-2.301	8.346
220088_at	C5AR1	complement component 5a receptor 1	-2.104	8.141
220091_at	SLC2A6	solute carrier family 2 member 6	-1.149	4.007
220092_s_at	ANTXR1	anthrax toxin receptor 1	-2.071	5.125
220094_s_at	MCUR1	mitochondrial calcium uniporter regulator 1	-1.169	6.097
220099_s_at	C7orf55-LUC7L2///LUC7L2	"C7orf55-LUC7L2 readthrough///LUC7 like 2, pre-mRNA splicing factor"	-1.487	6.678
220145_at	MAP9	microtubule associated protein 9	-1.351	3.06
220147_s_at	FAM60A	family with sequence similarity 60 member A	-1.243	5.81
220149_at	C2orf54	chromosome 2 open reading frame 54	-1.956	2.333
220150_s_at	FAM184A	family with sequence similarity 184 member A	1.733	6.126
220171_x_at	GPALPP1	GPALPP motifs containing 1	-1.087	5.839
220173_at	BBOF1	basal body orientation factor 1	-1.083	2.09
220174_at	LRRC8E	leucine rich repeat containing 8 family member E	-1.502	5.726
220177_s_at	TMPRSS3	"transmembrane protease, serine 3"	2.485	5.661
220184_at	NANOG	Nanog homeobox	1.208	6.545
220189_s_at	MGAT4B	"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B"	-2.617	7.4
220192_x_at	SPDEF	SAM pointed domain containing ETS transcription factor	-1.435	1.804
220199_s_at	AIDA	"axin interactor, dorsalization associated"	-3.236	11.174
220200_s_at	KMT5A	lysine methyltransferase 5A	-2.224	14.599
220202_s_at	RC3H2	ring finger and CCCH-type domains 2	-2.934	12.331
220213_at	TSHZ2	teashirt zinc finger homeobox 2	1.71	3.784
220232_at	SCD5	stearoyl-CoA desaturase 5	4.481	30.09
220233_at	FBXO17	F-box protein 17	1.37	7.892
220234_at	CA8	carbonic anhydrase 8	-2.189	2.583
220235_s_at	LRIF1	ligand dependent nuclear receptor interacting factor 1	-3.156	14.94
220238_s_at	KLHL7	kelch like family member 7	-1.414	3.406
220239_at	KLHL7	kelch like family member 7	-2.405	7.625
220244_at	LINC00312	long intergenic non-protein coding RNA 312	2.348	5.199
220261_s_at	ZDHHC4	zinc finger DHHC-type containing 4	-1.762	4.15
220266_s_at	KLF4	Kruppel like factor 4	-1.314	2.12
220273_at	IL17B	interleukin 17B	2.128	8.509
220276_at	RERGL	RERG like	3.165	11.19
220283_at	HHIPL2	HHIP like 2	-1.254	1.873
220293_at	CATSPERB	cation channel sperm associated auxiliary subunit beta	-2.202	2.582
220318_at	EPN3	epsin 3	-1.879	5.772
220324_at	LINC00472	long intergenic non-protein coding RNA 472	1.303	6.276
220326_s_at	ARHGEF40	Rho guanine nucleotide exchange factor 40	1.98	8.568
220330_s_at	SAMSN1	"SAM domain, SH3 domain and nuclear localization signals 1"	-2.764	5.956
